87.0008, 69.30257, -78.27768, -76.12328,
76.11559, 33.95066, -65.26053, -63.13213,
33.81828, 33.08349, -59.60672, -57.48962,
6.605258, -55.29625, -27.06384, -25.01176,
-4.12451, -73.0806, -19.84853, -17.81087,
-35.84749, -73.73098, -15.60818, -13.57899,
-35.69205, -56.16343, -21.41003, -19.36925,
2.40618, 67.56821, -66.97007, -64.83826,
2.095298, 32.43311, -55.36636, -53.25774,
-19.67512, -38.27068, -29.33206, -27.27545,
1.473535, -37.8371, -32.15896, -30.0967,
23.24395, 32.8667, -58.19327, -56.07899,
83.74436, 60.09491, -85.6236, -83.45451,
72.85915, 24.74302, -72.60645, -70.46337,
30.56184, 23.87584, -66.95264, -64.82086,
3.348822, -64.50391, -34.40975, -32.343,
-7.380947, -82.28825, -27.19445, -25.14211,
-39.10393, -82.93863, -22.95409, -20.91023,
-38.94849, -65.37108, -28.75595, -26.70049,
-0.8502563, 58.36057, -74.31598, -72.16949,
-1.161138, 23.22546, -62.71228, -60.58898,
-22.93156, -47.47833, -36.67797, -34.60669,
-1.782901, -47.04475, -39.50488, -37.42794,
19.98752, 23.65905, -65.53918, -63.41023
